  PID TTY          TIME CMD
    1 ?        00:00:01 init
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00 ksoftirqd/0
    4 ?        00:00:00 kworker/0:0
    5 ?        00:00:00 kworker/0:0H
    7 ?        00:00:00 rcu_sched
    8 ?        00:00:00 rcu_bh
    9 ?        00:00:00 rcuos/0
   10 ?        00:00:00 rcuob/0
   11 ?        00:00:00 migration/0
   12 ?        00:00:00 watchdog/0
   13 ?        00:00:00 watchdog/1
   14 ?        00:00:00 migration/1
   15 ?        00:00:00 ksoftirqd/1
   16 ?        00:00:00 kworker/1:0
   17 ?        00:00:00 kworker/1:0H
   18 ?        00:00:00 rcuos/1
   19 ?        00:00:00 rcuob/1
   20 ?        00:00:00 watchdog/2
   21 ?        00:00:00 migration/2
   22 ?        00:00:00 ksoftirqd/2
   23 ?        00:00:00 kworker/2:0
   24 ?        00:00:00 kworker/2:0H
   25 ?        00:00:00 rcuos/2
   26 ?        00:00:00 rcuob/2
   27 ?        00:00:00 watchdog/3
   28 ?        00:00:00 migration/3
   29 ?        00:00:00 ksoftirqd/3
   31 ?        00:00:00 kworker/3:0H
   32 ?        00:00:00 rcuos/3
   33 ?        00:00:00 rcuob/3
   34 ?        00:00:00 khelper
   35 ?        00:00:00 kdevtmpfs
   36 ?        00:00:00 netns
   37 ?        00:00:00 perf
   38 ?        00:00:00 khungtaskd
   39 ?        00:00:00 writeback
   40 ?        00:00:00 ksmd
   41 ?        00:00:00 khugepaged
   42 ?        00:00:00 crypto
   43 ?        00:00:00 kintegrityd
   44 ?        00:00:00 bioset
   45 ?        00:00:00 kblockd
   46 ?        00:00:00 ata_sff
   47 ?        00:00:00 md
   48 ?        00:00:00 devfreq_wq
   49 ?        00:00:00 kworker/u8:1
   50 ?        00:00:00 kworker/0:1
   51 ?        00:00:00 kworker/1:1
   53 ?        00:00:00 kswapd0
   54 ?        00:00:00 vmstat
   55 ?        00:00:00 fsnotify_mark
   56 ?        00:00:00 ecryptfs-kthrea
   67 ?        00:00:00 kthrotld
   68 ?        00:00:00 acpi_thermal_pm
   69 ?        00:00:00 scsi_eh_0
   70 ?        00:00:00 scsi_tmf_0
   71 ?        00:00:00 scsi_eh_1
   72 ?        00:00:00 scsi_tmf_1
   75 ?        00:00:00 kworker/3:1
   79 ?        00:00:00 ipv6_addrconf
   98 ?        00:00:00 deferwq
   99 ?        00:00:00 charger_manager
  143 ?        00:00:00 scsi_eh_2
  149 ?        00:00:00 scsi_tmf_2
  152 ?        00:00:00 kpsmoused
  154 ?        00:00:00 kworker/3:2
  156 ?        00:00:00 kworker/2:1
